RELY, DATA, CPLX, TIME, STOR, VIRT, TURN, ACAP, AEXP, PCAP, VEXP, LEXP, MODP, TOOL, SCED, LOC, ACT_EFFORT
n,h,vh,n,n,l,n,h,n,vh,l,n,h,n,l,70,278
vh,h,h,vh,vh,n,n,vh,vh,vh,n,h,h,h,l,227,1181
n,h,h,vh,h,l,h,h,n,h,l,h,h,n,l,177.9,1248
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,115.8,480
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,29.5,120
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,19.7,60
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,66.6,300
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,5.5,18
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,10.4,50
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,14,60
n,n,h,h,n,n,n,n,n,n,n,n,n,n,n,16,114
h,n,h,n,n,n,n,n,n,n,n,n,n,n,n,6.5,42
n,n,h,n,n,n,n,n,n,n,n,n,n,n,n,13,60
n,n,h,n,n,n,n,n,n,n,n,n,n,n,n,8,42
n,n,h,n,n,n,n,n,n,h,n,h,h,h,n,90,450
h,n,n,h,n,n,n,n,h,h,n,n,n,n,n,15,90
h,n,h,n,n,n,n,n,h,h,n,n,n,n,n,38,210
n,n,n,n,n,n,n,n,h,h,n,n,n,n,n,10,48
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,161.1,815
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,48.5,239
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,32.6,170
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,12.8,62
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,15.4,70
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,16.3,82
n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,35.5,192
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,25.9,117.6
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,24.6,117.6
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,7.7,31.2
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,9.7,25.2
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,2.2,8.4
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,3.5,10.8
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,8.2,36
h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,66.6,352.8
n,l,h,n,xh,l,l,h,vh,vh,n,h,n,n,n,150,324
n,l,h,n,n,l,l,h,n,n,n,vl,n,n,n,100,360
n,l,h,n,n,h,l,h,h,h,l,vl,n,n,n,100,215
n,l,h,n,n,l,l,h,vh,vh,n,h,n,n,n,100,360
n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,15,48
n,l,h,n,xh,l,l,h,h,n,n,h,n,n,n,32.5,60
n,l,h,n,n,l,l,h,h,h,n,h,n,n,n,31.5,60
n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,6,24
n,l,h,n,n,l,l,h,vh,n,n,l,n,n,n,11.3,36
n,l,h,n,n,l,l,h,vh,vh,n,h,n,n,n,20,72
n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,20,48
h,l,h,xh,xh,l,h,h,h,h,n,h,h,h,n,7.5,72
h,l,h,n,n,l,l,n,n,h,n,n,h,vl,n,302,2400
h,n,h,h,h,l,h,n,h,n,n,n,l,vh,n,370,3240
h,n,h,h,h,l,h,n,h,n,n,n,l,vh,n,219,2120
h,n,h,h,h,l,h,n,h,n,n,n,l,vh,n,50,370
h,n,vh,h,h,l,h,h,n,n,h,h,l,vh,h,101,750
n,n,n,n,n,l,n,h,vh,vh,l,h,h,n,n,190,420
n,n,h,n,h,n,n,h,h,n,n,h,h,n,h,47.5,252
vh,n,xh,h,h,l,l,n,h,n,n,n,l,h,n,21,107
l,n,n,n,n,l,l,h,h,vh,n,h,l,l,h,423,2300
h,h,n,n,n,l,l,n,h,h,n,h,n,n,n,79,400
h,h,l,n,n,n,h,h,h,n,n,n,h,n,n,284.7,973
n,h,l,n,n,h,n,h,h,n,n,n,h,h,n,282.1,1368
n,h,h,vh,n,n,h,h,h,h,n,h,l,l,h,78,571.4
n,h,h,vh,n,n,h,h,h,h,n,h,l,l,h,11.4,98.8
n,h,h,vh,n,n,h,h,h,h,n,h,l,l,h,19.3,155
