ID, PREC, FLEX, RESL, TEAM, PMAT, RELY, DATA, CPLX, RUSE, DOCU, TIME, STOR, PVOL, ACAP, PCAP, PCON, AEXP, PEXP, LTEX, TOOL, SITE, SCED, KLOC, Effort
1,vh,n,l,h,vl,n,n,l,l,l,vh,h,n,h,vh,vh,vh,h,h,h,l,n,3,1.2
2,vh,n,l,vh,vl,h,n,l,n,l,vh,h,n,h,h,vh,vh,vh,vh,h,vl,h,2,2
3,xh,n,l,h,vl,h,vh,l,n,l,vh,vh,n,h,h,vh,vh,vh,vh,h,vl,h,4.25,4.5
4,xh,h,h,h,n,h,h,vh,l,n,n,n,h,h,h,vl,h,vh,h,n,h,h,10,3
5,n,n,l,h,n,l,n,vh,n,h,h,n,n,h,h,h,n,n,n,n,h,l,15,4
6,vh,l,xh,xh,h,l,l,n,l,vl,n,n,l,vh,vh,h,n,h,h,vl,xh,l,40.53,22
7,xh,vh,xh,n,h,l,l,l,n,vl,n,n,l,vh,vh,vh,n,vh,vh,vl,h,l,4.05,2
8,n,vl,vh,n,l,l,vh,vl,h,vh,vh,vh,l,l,h,vh,n,n,n,n,vh,n,31.845,5
9,vl,vl,n,vl,l,vl,n,l,vh,l,n,n,l,l,h,vh,h,h,h,n,h,n,114.28,18
10,n,vl,vh,l,l,vl,h,n,vh,vl,vh,vh,l,l,vh,vh,h,vh,h,n,n,l,23.106,4
11,h,n,vh,h,l,l,n,n,n,l,n,n,l,vh,h,vh,n,n,h,vh,vh,h,1.369,1
12,l,n,n,h,n,l,l,h,h,n,n,n,l,l,h,vh,h,n,h,vh,vh,h,1.611,2.1
